"","Region","Date","Year","Week","Total Tests","Total RSV","Test Positivity Rate","PM2.5","PM10","SO2","O3","NO2","Max.Temp","Min.Temp","Temp.Range","Avg.Temp","Prcp","RH","WS","AP","Heat_p99","Heat_p975","Heat_p95","Cold_p01","Cold_p025","Cold_p05","Cold_p075","Cold_p10","RWV-SD","RWV-DTD","p1_2d","p1_3d","p1_4d","p1_5d","p2.5_2d","p2.5_3d","p2.5_4d","p2.5_5d","p5_2d","p5_3d","p5_4d","p5_5d","p7.5_2d","p7.5_3d","p7.5_4d","p7.5_5d","p10_2d","p10_3d","p10_4d","p10_5d","p1_2d_continuous","p1_3d_continuous","p1_4d_continuous","p1_5d_continuous","p2.5_2d_continuous","p2.5_3d_continuous","p2.5_4d_continuous","p2.5_5d_continuous","p5_2d_continuous","p5_3d_continuous","p5_4d_continuous","p5_5d_continuous","p7.5_2d_continuous","p7.5_3d_continuous","p7.5_4d_continuous","p7.5_5d_continuous","p10_2d_continuous","p10_3d_continuous","p10_4d_continuous","p10_5d_continuous","joint_p025_p95_2d","joint_p05_p95_2d","joint_p075_p95_2d","joint_p10_p95_2d","joint_p025_p90_2d","joint_p05_p90_2d","joint_p075_p90_2d","joint_p10_p90_2d","joint_p025_p80_2d","joint_p05_p80_2d","joint_p075_p80_2d","joint_p10_p80_2d","joint_p025_p70_2d","joint_p05_p70_2d","joint_p075_p70_2d","joint_p10_p70_2d","joint_p025_p60_2d","joint_p05_p60_2d","joint_p075_p60_2d","joint_p10_p60_2d","joint_p025_p50_2d","joint_p05_p50_2d","joint_p075_p50_2d","joint_p10_p50_2d","joint_p025_p95_2d_v2","joint_p05_p95_2d_v2","joint_p075_p95_2d_v2","joint_p10_p95_2d_v2","joint_p025_p90_2d_v2","joint_p05_p90_2d_v2","joint_p075_p90_2d_v2","joint_p10_p90_2d_v2","joint_p025_p80_2d_v2","joint_p05_p80_2d_v2","joint_p075_p80_2d_v2","joint_p10_p80_2d_v2","joint_p025_p70_2d_v2","joint_p05_p70_2d_v2","joint_p075_p70_2d_v2","joint_p10_p70_2d_v2","joint_p025_p60_2d_v2","joint_p05_p60_2d_v2","joint_p075_p60_2d_v2","joint_p10_p60_2d_v2","joint_p025_p50_2d_v2","joint_p05_p50_2d_v2","joint_p075_p50_2d_v2","joint_p10_p50_2d_v2","excess_pm25_p95_2d","excess_pm25_p90_2d","excess_pm25_p80_2d","excess_pm25_p70_2d"
"1","Antofagasta",2015-01-04,"2015",1,3,0,0,10.771775,36.31210321,18.74658077,32.73539815,10.01866946,25.35,10.05,15.3,17.8,0,43.94791667,9.984375,884.5744792,0,0,0,0,0,0,0,0,0.685565460040104,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Antofagasta",2015-01-11,"2015",2,1,0,0,11.10814375,45.33091571,19.69288718872,41.9031082848,11.38501774,25.55,11.1,14.45,18.5,0,42.078125,10.515625,884.5888021,0,0,0,0,0,0,0,0,0.321825152173395,-0.0437500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Antofagasta",2015-01-18,"2015",3,2,0,0,12.23156708,48.56737911,21.28044024756,45.38282,11.70362416,24.35,10.5,13.85,17.36875,0,42.22135417,10.22135417,885.6125,0,0,0,0,0,0,0,0,0.340102400545986,-0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Antofagasta",2015-01-25,"2015",4,3,0,0,11.18182833,35.98285375,13.669362025,37.0616613248,11.619715295,24.3,10.3,14,17.41875,0,47.64583333,10.25208333,885.9791667,0,0,0,0,0,0,0,0,0.568794150562649,0.0375000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Antofagasta",2015-02-01,"2015",5,4,0,0,11.18163944,41.95307857,18.75765502006,31.84066305,13.66569309344,25.4,11.5,13.9,18.63125,0,53.89322917,10.0859375,884.3809896,0,0,2,0,0,0,0,0,0.556094480667244,0.20625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Antofagasta",2015-02-08,"2015",6,2,0,0,11.73958971,45.06608732,16.773927095,31.34070135,12.57274545844,25.75,13.15,12.6,18.8125,0,59.97135417,9.809895833,884.5575521,0,1,3,0,0,0,0,0,0.649037749287359,-0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Antofagasta",2015-02-15,"2015",7,2,0,0,12.88884704,48.56855768,20.44691696622,30.2487571848,16.56620855844,25.5,12.65,12.85,18.725,0,63.45052083,9.190104167,885.5317708,0,0,3,0,0,0,0,0,0.435069780938315,0.0375000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Antofagasta",2015-02-22,"2015",8,1,0,0,15.42753175,52.18607036,18.47720194872,33.1289796348,17.67639814344,25.5,10.75,14.75,17.9375,0,55.98697917,9.723958333,885.2544271,0,0,0,0,0,0,0,0,0.673874723414629,-0.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"9","Antofagasta",2015-03-01,"2015",9,2,0,0,13.27239267,38.35013857,10.70644389878,26.679569,15.147451635,25,10.3,14.7,17.61875,0,57.24479167,10.08333333,885.2315104,0,0,0,0,0,0,0,0,0.309305096720282,0.0562499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Antofagasta",2015-03-08,"2015",10,1,0,0,13.08711025,46.41106911,12.01392665256,25.0012161,16.599292445,24.5,10.2,14.3,17.09375,0,58.51460598,10.04427083,884.4630208,0,0,0,0,0,0,0,0,0.491671711031428,-0.0562499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Antofagasta",2015-03-15,"2015",11,1,0,0,15.60873542,64.12770661,17.38648972622,31.5611927848,20.39878161,25.45,11.7,13.75,18.35,0,60.8203125,9.651041667,882.7692708,0,0,1,0,0,0,0,0,0.532514251989023,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"12","Antofagasta",2015-03-22,"2015",12,1,0,0,13.09220563,57.58063321,13.49254272878,30.2490805848,20.10179331,24.25,12.95,11.3,18.2375,0,67.01302083,8.630208333,885.3411458,0,0,0,0,0,0,0,0,0.313676357322092,-0.0124999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Antofagasta",2015-03-29,"2015",13,1,0,0,12.13721888,45.72961054,18.59994649378,21.9619163848,20.7057784472,23.55,10.75,12.8,17.10625,20.65,73.8046875,8.484375,886.3677083,0,0,0,0,0,0,0,0,1.00087015712757,-0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Antofagasta",2015-04-05,"2015",14,3,0,0,13.09549773,53.04926679,20.12894426872,31.124065,21.4320163372,24.15,10.7,13.45,16.79375,0,52.3984375,9.174479167,885.7320313,0,0,0,0,0,0,0,0,0.282131554927332,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Antofagasta",2015-04-12,"2015",15,4,0,0,14.82769427,61.77758071,13.59351883878,29.81798225,22.4933926528,24.4,9.3,15.1,16.74375,0,48.015625,9.143229167,884.0382813,0,0,0,0,0,0,0,0,0.827836034489922,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"16","Antofagasta",2015-04-19,"2015",16,2,0,0,15.61485281,59.92981214,9.98040137,26.4080489848,22.60673445,23.9,10.2,13.7,16.6,0,50.52864583,8.958333333,885.9216146,0,0,0,0,0,0,0,0,0.573211504221111,-0.2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Antofagasta",2015-04-26,"2015",17,4,0,0,17.77704813,70.28851661,12.67837330622,23.7320671,26.6430039844,23.95,8.6,15.35,16.0875,0,46.98697917,9.671875,885.4916667,0,0,0,0,0,0,0,0,0.912120762681283,0.0437499999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
"18","Antofagasta",2015-05-03,"2015",18,2,1,0.5,20.87352388,76.95182964,12.70134604,22.7513872348,25.6813883272,24.65,9.2,15.45,15.99375,0,51.4453125,8.841145833,884.9161458,0,0,0,0,0,0,0,0,0.968222782805103,-0.23125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"19","Antofagasta",2015-05-10,"2015",19,5,0,0,20.072499,69.35544589,11.789719005,15.5599304,28.7344107928,24.8,7.85,16.95,14.94375,0,47.85824275,9.673120471,885.4369452,0,0,0,0,0,0,0,0,0.746150836914743,0.0249999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
"20","Antofagasta",2015-05-17,"2015",20,3,0,0,22.09141233,77.37978732,13.33548953,17.3749345,31.24758105,22.45,6.35,16.1,14.0875,0,43.3671875,9.302083333,885.4377604,0,0,0,0,0,0,0,0,0.860958767886128,-0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
"21","Antofagasta",2015-05-24,"2015",21,6,1,0.166666666666667,21.16588577,63.08616643,9.68679049622,18.135962075,27.596191,22.3,6.7,15.6,14.225,0,44.88541667,9.661458333,887.4398438,0,0,0,0,0,0,0,0,0.75308887731984,0.18125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"22","Antofagasta",2015-05-31,"2015",22,6,1,0.166666666666667,25.13127869,77.12057375,10.56087105006,15.65143545,33.4744116844,22.05,6.45,15.6,13.575,0,47.5381567,9.829483696,886.8509058,0,0,0,0,0,0,0,1,1.30301847372059,-0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7
"23","Antofagasta",2015-06-07,"2015",23,6,1,0.166666666666667,25.1332989,84.84365875,13.1195714,11.30256785,34.84757895,25.1,5.45,19.65,13.475,0,38.44010417,10.0078125,886.4122396,0,0,0,0,0,0,0,0,1.2983506020002,0.19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,7
"24","Antofagasta",2015-06-14,"2015",24,6,0,0,20.68497073,62.81574571,9.09324497256,15.236766825,29.1163778,21.75,6.15,15.6,12.99375,0,42.51302083,10.2734375,887.0002604,0,0,0,0,0,0,0,1,0.74567203629631,-0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5
"25","Antofagasta",2015-06-21,"2015",25,9,1,0.111111111111111,31.44909188,83.09437304,14.1550186525,16.669727725,38.6317099344,23,5.05,17.95,13.4109375,0,41.68340774,10.48102679,885.305878,0,0,0,0,0,0,0,1,1.27463996142048,0.20625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7
"26","Antofagasta",2015-06-28,"2015",26,2,1,0.5,27.55606875,84.70820232,12.30128145628,20.7788603848,38.5755214344,22.8,7.45,15.35,13.7375,0,41.77468297,10.71637228,885.9222713,0,0,0,0,0,0,0,0,0.869215574115946,-0.25625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7
"27","Antofagasta",2015-07-05,"2015",27,7,0,0,29.16439583,84.07244464,15.3360563575,31.32529575,37.8450439,20.45,6.35,14.1,12.6875,0,42.75520833,9.606770833,885.5364583,0,0,0,0,0,0,0,0,0.535690475661352,-0.0875000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
"28","Antofagasta",2015-07-12,"2015",28,5,1,0.2,22.51612833,66.22373161,11.58374156372,10.1364977,34.2897515728,20.6,3.95,16.65,11.2875,0,42.44701087,10.15104167,886.7,0,0,0,1,2,2,2,6,1.18735901418713,-0.21875,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,0,5,5,5,5,0,0,0,0,0,0,0,3,2,2,3,5,2,2,3,5,2,2,2,5,2,2,3,5,0,0,0,0,2,2,3,4,2,2,3,5,2,2,3,5,2,2,3,5,2,2,3,5,0,4,6,6
"29","Antofagasta",2015-07-19,"2015",29,6,0,0,18.66843469,57.9779275,9.55996399378,17.31894955,27.0549224372,19.75,2.1,17.65,10.63125,0.1,41.46263587,10.44791667,887.7148438,0,0,0,2,2,5,5,8,1.01802943403982,-0.1375,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,7,7,7,7,0,0,0,0,0,2,2,2,0,3,3,4,0,4,4,5,0,4,4,6,0,4,4,6,0,0,0,0,0,2,2,2,0,4,4,4,0,5,5,5,0,5,5,6,0,5,5,6,0,2,4,5
"30","Antofagasta",2015-07-26,"2015",30,2,0,0,26.21176196,64.99648357,12.79146200372,16.050392225,34.1744903144,22.05,4.15,17.9,11.9,0,42.953125,10.23697917,887.1606771,0,0,0,0,0,2,2,4,1.0508499960916,0.25625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,5,7,7,7
"31","Antofagasta",2015-08-02,"2015",31,6,2,0.333333333333333,19.96829802,57.22392625,10.27388804006,14.705376525,27.3695064844,22.85,4.5,18.35,12.7875,0,39.63020833,11.26875,885.8140625,0,0,0,0,0,1,1,1,1.06057598906039,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"32","Antofagasta",2015-08-09,"2015",32,18,1,0.0555555555555556,14.9070505,42.00078429,8.1177991575,16.49225499348,23.2652192644,22.35,4.5,17.85,12.54375,7,45.61458333,10.3046875,884.8960938,0,0,0,1,1,2,2,2,1.9580306250341,-0.44375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"33","Antofagasta",2015-08-16,"2015",33,6,0,0,11.39846008,44.994885,8.08263065122,18.84809193848,22.3515574628,19.4,3.45,15.95,10.89375,5.3,50.62239583,11.38020833,886.73125,0,0,0,2,3,3,3,7,1.2815831448419,-0.1625,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,0,0,0,0
"34","Antofagasta",2015-08-23,"2015",34,7,1,0.142857142857143,14.60209481,46.55667125,10.74989905372,20.7811377676,24.9250925272,21.4,3.45,17.95,12.60625,0,46.29947917,10.4140625,886.1776042,0,0,0,0,1,1,1,2,1.49055059338104,0.0999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"35","Antofagasta",2015-08-30,"2015",35,16,1,0.0625,16.38494896,51.56139089,10.615157285,13.066242,27.3456210844,24.95,6.55,18.4,14.2125,0,42.53883605,11.12850996,885.782303,0,0,0,0,0,0,0,0,1.3133245709159,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
"36","Antofagasta",2015-09-06,"2015",36,6,0,0,15.27118623,46.9282275,12.80553942878,16.94135457,26.0815039144,23.1,7.65,15.45,14.6625,0,44.59375,10.21614583,886.1742188,0,0,0,0,0,0,0,0,0.501248441394085,-0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Antofagasta",2015-09-13,"2015",37,11,0,0,13.25836771,36.67237411,12.53108787878,19.34777985,22.1249584872,22.4,6.15,16.25,13.65,0,44.30932971,10.77060688,886.3171988,0,0,0,0,0,0,0,0,0.636957051703084,-0.0374999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"38","Antofagasta",2015-09-20,"2015",38,5,0,0,13.74157779,39.57680786,13.33276211,19.13211125,22.18347313,23.75,7.25,16.5,14.98359375,0,40.13043478,10.89787138,885.7332541,0,0,0,0,0,0,0,0,0.770616473275733,0.35625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Antofagasta",2015-09-27,"2015",39,5,0,0,10.9145671,36.53976929,11.5349701825,21.3726227848,18.92963775,23.75,6.25,17.5,14.75,0,41.5703125,11.9765625,885.7651042,0,0,0,0,0,0,0,0,1.11739492954435,-0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Antofagasta",2015-10-04,"2015",40,9,0,0,12.61066865,34.38688339,9.05883602,20.2439347348,18.215932645,23.4,6.25,17.15,14.8375,0,41.109375,10.671875,885.1333333,0,0,0,0,0,0,0,0,0.773096741312865,0.24375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
